Designator,Mid X,Mid Y,Layer,Rotation
C1,6.71,20.32,Top,270
C2,22.76,26.82,Top,0
C3,22.76,24.18,Top,0
C4,11.99,31.9,Top,270
C5,17.27,43.84,Top,180
C6,29.87,32.31,Top,90
C7,29.67,39.62,Top,90
C8,17.27,46.94,Top,180
C9,6.71,10.57,Top,90
C10,26.82,16.46,Top,270
C11,36.17,16.66,Top,270
C12,17.27,16.46,Top,270
C13,23.77,16.46,Top,270
C14,87.61,7.73,Top,270
C15,54.46,7.32,Top,270
C16,42.27,7.32,Top,270
C17,45.72,7.32,Top,270
C18,79.25,7.72,Top,90
C19,76.81,51.61,Top,90
C22,54.25,47.75,Top,270
C23,54.25,34.34,Top,270
C24,92.66,42.06,Top,90
C25,96.93,42.06,Top,270
C26,92.46,54.66,Top,90
C27,97.13,54.66,Top,270
C29,67.46,47.14,Top,180
C30,72.75,53.04,Top,0
C31,67.46,49.99,Top,180
C32,72.75,49.99,Top,0
C33,72.75,47.14,Top,0
C35,16.66,26.82,Top,0
CHG,86.77,15.85,Top,0
D3,87.78,41.45,Top,180
D4,79.65,51.21,Top,90
F1,89.61,25.6,Top,0
L1,26.42,26.11,Top,270
LED,38.51,51.26,Top,180
LIPO,72.95,4.35,Top,180
NET,47.35,18.29,Top,180
POWER,96.62,32.36,Top,180
PWR,48.56,11.79,Top,180
Q1,20.49,17.14,Top,180
Q3,53.64,54.05,Top,180
Q4,53.64,40.84,Top,180
Q5,53.64,22.35,Top,180
R1,43.28,11.79,Top,180
R2,38.61,54.41,Top,0
R3,6.71,24.59,Top,90
R4,6.71,16.05,Top,90
R5,46.33,26.82,Top,90
R6,49.38,26.82,Top,90
R7,31.7,26.62,Top,180
R8,31.7,23.37,Top,0
R9,20.52,19.91,Top,180
R10,31.7,20.52,Top,180
R11,82.09,14.83,Top,90
R12,53.55,11.75,Top,0
R13,86.77,12.4,Top,0
R17,87.38,52.63,Top,0
R18,87.38,46.33,Top,180
R19,43.48,54.46,Top,180
R20,49.17,41.45,Top,180
R21,87.38,55.68,Top,0
R22,49.17,54.46,Top,180
R23,43.28,41.45,Top,180
R24,87.38,49.38,Top,180
R25,64.21,48.56,Top,270
R26,49.38,22.15,Top,270
R27,46.33,22.15,Top,90
R28,53.64,18.29,Top,0
R29,20.12,6.3,Top,0
R30,24.59,6.3,Top,180
R31,91.03,35.56,Top,180
RF_ANT,64.21,53.85,Top,90
S1,97.36,14.63,Top,270
S2,11.38,10.36,Top,270
S3,47.14,49.38,Top,180
S4,11.18,20.32,Top,270
S6,47.35,36.58,Top,180
U1,20.78,35.61,Top,0
U2,83.57,7.72,Top,180
U3,49.99,7.32,Top,0
U6,69.49,31.5,Top,0
U7,94.89,48.56,Top,180
X1,31.5,17.48,Top,0
