Designator,Mid X,Mid Y,Layer,Rotation
C1,26.01,57.51,Top,270
C2,42.06,64.01,Top,0
C3,42.06,61.37,Top,0
C4,31.29,69.09,Top,270
C5,36.37,81.43,Top,180
C6,48.97,69.49,Top,90
C7,48.97,77.01,Top,90
C8,36.37,84.53,Top,180
C9,26.01,47.75,Top,90
C10,46.13,53.64,Top,270
C11,55.47,53.85,Top,270
C12,36.58,53.64,Top,270
C13,43.08,53.64,Top,270
C14,100.21,44.91,Top,270
C15,73.76,44.5,Top,270
C16,61.57,44.5,Top,270
C17,65.02,44.5,Top,270
C18,93.27,44.91,Top,90
C19,91.24,88.8,Top,90
C22,68.83,86.21,Top,270
C23,68.88,71.53,Top,270
C24,105.87,79.25,Top,90
C25,110.13,79.25,Top,270
C26,105.66,91.85,Top,90
C27,110.34,91.85,Top,270
C29,81.48,83.31,Top,180
C30,87.17,90.22,Top,0
C31,81.48,85.34,Top,180
C32,87.17,87.17,Top,0
C33,87.17,84.33,Top,0
C35,35.97,64.01,Top,0
CHG,62.99,52.22,Top,180
D3,100.99,78.64,Top,180
D4,94.08,88.39,Top,90
F1,102.82,62.79,Top,0
L1,45.72,63.3,Top,270
LED,29.16,80.72,Top,180
LIPO,87.38,41.54,Top,180
NET,62.99,55.47,Top,180
POWER,109.43,69.55,Top,180
PWR,62.99,48.97,Top,180
Q1,39.79,54.33,Top,180
Q2,69.49,81.08,Top,180
Q3,69.49,91.03,Top,180
Q4,69.49,76.81,Top,180
Q5,69.29,59.54,Top,180
R1,67.87,48.97,Top,0
R2,29.26,83.87,Top,0
R3,26.01,61.77,Top,90
R4,26.01,53.24,Top,90
R5,61.98,64.01,Top,90
R6,65.02,64.01,Top,90
R7,51,63.8,Top,180
R8,51,60.55,Top,0
R9,39.83,57.1,Top,180
R10,51,57.71,Top,180
R11,94.08,48.77,Top,180
R12,72.85,48.93,Top,0
R13,99.16,48.77,Top,0
R17,100.58,89.81,Top,0
R18,100.58,83.52,Top,180
R19,60.96,91.44,Top,180
R20,65.33,77.52,Top,180
R21,100.58,92.86,Top,0
R22,65.43,91.44,Top,180
R23,61.21,77.52,Top,180
R24,100.58,86.56,Top,180
R25,78.64,84.12,Top,270
R26,65.02,59.33,Top,270
R27,61.98,59.33,Top,90
R28,69.29,55.47,Top,0
R29,39.42,44.59,Top,0
R30,43.89,44.59,Top,180
R31,103.43,74.17,Top,180
R32,62.79,67.31,Top,180
R33,65.23,81.89,Top,0
R34,61.16,81.89,Top,180
RF_ANT,78.64,88.19,Top,90
S1,110.17,52.43,Top,270
S2,30.68,47.55,Top,270
S3,63.2,86.97,Top,180
S4,30.68,57.51,Top,270
S6,63.2,72.9,Top,180
U1,40.08,72.8,Top,0
U2,96.77,44.91,Top,180
U3,69.29,44.5,Top,0
U6,83.92,68.68,Top,0
U7,108.1,85.75,Top,180
U8,102.41,70.31,Top,0
X1,50.8,54.66,Top,0
