"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"JP1E";"JP1";"JP4";"JUMPER";"";
"1";"";"PINHD-1X01_2.54-S";"1X01-S";"JP3";"PIN HEADER";"";
"1";"";"PINHD-1X03_2.54-S";"1X03-S";"JP1";"PIN HEADER";"";
"5";"";"PINHD-1X04_2.54-S";"1X04-S";"CAN, I2C1, POWER-PINS, POWER-PINS1, USART1";"PIN HEADER";"";
"1";"";"PINHD-1X05_2.54-S";"1X05-S";"JP2";"PIN HEADER";"";
"4";"";"PINHD-1X06_2.54-S";"1X06-S";"ANALOG, SPI1, SPI2, SWD";"PIN HEADER";"";
"1";"";"PINHD-1X08_2.54-S";"1X08-S";"DIGITAL";"PIN HEADER";"";
"1";"";"PINHD-2X03_2.54";"2X03";"BOOT";"PIN HEADER";"";
"2";"";"PINHD-2X05_2.54";"2X05";"CC1101, MODEMCTL";"PIN HEADER";"";
"1";"";"SWITCH-SPDT-SMD-A";"SWITCH-SPST-SMD-A";"S1";"SPDT Switch";"";
"1";"";"USB_MICRO_20329_V2";"4UCONN_20329_V2";"POWER";"USB Connectors";"";
"1";"0R";"R-EU_R0805";"R0805";"R25";"RESISTOR, European symbol";"";
"1";"100R";"R-EU_R0805";"R0805";"R3";"RESISTOR, European symbol";"";
"2";"100k";"R-EU_R0805";"R0805";"R12, R16";"RESISTOR, European symbol";"";
"14";"100nF";"C-EUC0805";"C0805";"C1, C2, C4, C5, C6, C7, C9, C22, C23, C25, C29, C30, C31, C35";"CAPACITOR, European symbol";"";
"1";"100uF";"CPOL-EUB/3528-21R";"B/3528-21R";"C19";"POLARIZED CAPACITOR, European symbol";"";
"3";"10k";"R-EU_R0805";"R0805";"R7, R8, R21";"RESISTOR, European symbol";"";
"1";"10pF";"C-EUC0805";"C0805";"C33";"CAPACITOR, European symbol";"";
"3";"10uF";"C-EUC0805";"C0805";"C14, C16, C18";"CAPACITOR, European symbol";"";
"1";"10uF";"C-EUC1206";"C1206";"C8";"CAPACITOR, European symbol";"";
"2";"15pF";"C-EUC0805";"C0805";"C12, C13";"CAPACITOR, European symbol";"";
"1";"1812L050/30PR";"PTCFUSE-1812";"1812";"F1";"PTC fuses, resettable thermistors";"";
