"Qty";"Value";"Device";"Package";"Parts";"Description";"BOM";"BUILT_BY";"COPYRIGHT";"MANUFACTURER_PART_NUMBER";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"SOURCELIBRARY";"VALUE";"VENDOR";
"1";"";"JST_2PIN-SMT";"JST-PH-2-SMT";"LIPO";"JST 2-Pin Connectors of various flavors";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"PINHD-1X10";"1X10";"JP6";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"PINHD-1X10_2.54-S";"1X10-S";"JP9";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"";"PINHD-1X6";"1X06";"JP4, JP5, SWD";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"PINHD-1X8";"1X08";"JP7";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"PINHD-2X03_2.54-SMD";"2X03SMD";"BOOT";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"";"PINHD-2X05_2.54-SMD";"2X05SMD";"CC1101, MODEMCTL";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"SWITCH-SPDTSMD2";"SWITCH-SPDT-SMD";"S1";"SPDT Switch";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"TVSARRAY_5LANE";"SOT363";"D3";"Voltage Transient Suppressor Array";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"USB_MICRO_20329_V2";"4UCONN_20329_V2";"POWER";"USB Connectors";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"100R";"R-US_M0805";"M0805";"R3";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"100k";"R-US_M0805";"M0805";"R12, R16";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"100n";"CAP_CERAMIC_0805MP";"_0805MP";"C19";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";
"6";"100nF";"CAP_CERAMIC_0805";"_0805";"C22, C23, C25, C29, C30, C31";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";
"7";"100nF";"CAP_CERAMIC_0805MP";"_0805MP";"C1, C2, C4, C5, C6, C7, C9";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"100uF";"C-USC1210";"C1210";"C28";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10k";"R-0805";"0805";"R21";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"10k";"R-US_M0805";"M0805";"R7, R8";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10pF";"CAP_CERAMIC_0805";"_0805";"C33";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"10uF";"CAP_CERAMIC_0805";"_0805";"C14, C18";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"10uF";"CAP_CERAMIC_0805MP";"_0805MP";"C8, C15, C16";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1M";"R-US_M0805";"M0805";"R9";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1k";"R-EU_R0805";"R0805";"R1";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"1k";"R-US_M0805";"M0805";"R5, R10, R11";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"1uF";"CAP_CERAMIC_0805MP";"_0805MP";"C3, C17";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"2.1MMJACKSMT";"2.1MMJACKSMT";"DCJACK_2MM_SMT";"U$1";"2.1mm x 5.5mm THM DC jack with internal switch. Digikey part #PJ-102A, 4UCON part #05537";"";"";"";"";"";"";"";"";"";"";"";"";
