Designator,Mid X,Mid Y,Layer,Rotation
BOOT,47.6,19.66,Top,0
C1,11.38,10.77,Top,90
C2,31.29,31.6,Top,270
C3,29.26,31.6,Top,270
C4,12.6,25.45,Top,90
C5,24.79,21.64,Top,180
C6,24.18,37.69,Top,0
C7,17.68,37.49,Top,0
C8,24.18,39.52,Top,0
C9,19.66,21.65,Top,0
C10,33.32,25.1,Top,90
C11,33.32,31.6,Top,270
C12,28.65,17.78,Top,90
C13,33.53,17.78,Top,90
C22,64.36,19.3,Top,90
C23,64.26,10.11,Top,90
CC1101,13.13,43.38,Top,0
CHG,64.01,15.24,Top,90
L1,30.4,34.54,Top,0
LED,9.02,34.43,Top,90
LIPO,70.83,17.07,Top,270
MODEMCTL,48.92,31.55,Top,270
NET,60.68,27.94,Top,180
NRST,20.32,13.82,Top,270
POWER,70.92,6.3,Top,90
PWR,24.87,13.87,Top,270
PWRKEY,57.18,15.04,Top,180
Q1,31.09,21.23,Top,180
Q2,37.8,28.35,Top,270
Q3,54.43,19.36,Top,90
Q4,54.38,10.11,Top,90
Q5,54.38,23.88,Top,90
R1,24.77,10.77,Top,0
R2,8.97,36.4,Top,0
R3,11.38,14.83,Top,270
R4,8.74,14.83,Top,90
R7,20.93,38.51,Top,90
R8,24.79,18.19,Top,0
R9,31.29,25.1,Top,270
R10,32.31,28.35,Top,0
R19,61.34,19.36,Top,270
R20,61.29,10.11,Top,270
R22,58.29,19.36,Top,90
R23,58.24,10.11,Top,90
R26,61.29,23.93,Top,270
R27,58.24,23.88,Top,90
R28,56.41,27.94,Top,180
RESET,57.2,5.21,Top,180
S1,72.57,26.82,Top,270
U1,21.13,29.57,Top,180
U5,63.55,44.86,Top,0
USER,15.44,13.82,Top,270
