BOOT 47.60 19.66   0  2X03SMD
C1 11.38 10.77  90 100nF _0805MP
C2 31.29 31.60 270 100nF _0805MP
C3 29.26 31.60 270 1uF _0805MP
C4 12.60 25.45  90 100nF _0805MP
C5 24.79 21.64 180 100nF _0805MP
C6 24.18 37.69   0 100nF _0805MP
C7 17.68 37.49   0 100nF _0805MP
C8 24.18 39.52   0 10uF _0805MP
C9 19.66 21.65   0 100nF _0805MP
C10 33.32 25.10  90 20pF _0805MP
C11 33.32 31.60 270 20pF _0805MP
C12 28.65 17.78  90 4.3pF _0805MP
C13 33.53 17.78  90 4.3pF _0805MP
C22 64.36 19.30  90 100nF _0805
C23 64.26 10.11  90 100nF _0805
CC1101 13.13 43.38   0  2X05SMD
CHG 64.01 15.24  90 ORANGE CHIPLED_0805
L1 30.40 34.54   0 BLM21BB201SN1D 0805
LED  9.02 34.43  90 ORANGE CHIPLED_0805
LIPO 70.83 17.07 270  JST-PH-2-SMT
MODEMCTL 48.92 31.55 270  2X05SMD
NET 60.68 27.94 180 RED LED-0805
NRST 20.32 13.82 270 KSS-2EG4430 KSS-2EG4430
POWER 70.92  6.30  90  4UCONN_20329_V2
PWR 24.87 13.87 270 GREEN CHIP-LED0805
PWRKEY 57.18 15.04 180 KSS-2EG4430 KSS-2EG4430
Q1 31.09 21.23 180 32.768kHz TC26H-SMD
Q2 37.80 28.35 270 8MHz SM49
Q3 54.43 19.36  90 9013 SOT23
Q4 54.38 10.11  90 9013 SOT23
Q5 54.38 23.88  90 9013 SOT23
R1 24.77 10.77   0 330R R0805
R2  8.97 36.40   0 330R M0805
R3 11.38 14.83 270 100R M0805
R4  8.74 14.83  90 4k7 M0805
R7 20.93 38.51  90 10k M0805
R8 24.79 18.19   0 10k M0805
R9 31.29 25.10 270 1M M0805
R10 32.31 28.35   0 1k M0805
R19 61.34 19.36 270 4k7 0805
R20 61.29 10.11 270 4k7 0805
R22 58.29 19.36  90 47k 0805
R23 58.24 10.11  90 47k 0805
R26 61.29 23.93 270 4k7 0805
R27 58.24 23.88  90 47k 0805
R28 56.41 27.94 180 2k2 0805
RESET 57.20  5.21 180 KSS-2EG4430 KSS-2EG4430
S1 72.57 26.82 270  SWITCH-SPST-SMD-A
U1 21.13 29.57 180 STM32F103RBT6 LQFP64-10X10MM
U5 63.55 44.86   0 MICROSIM MICROSIM
USER 15.44 13.82 270 KSS-2EG4430 KSS-2EG4430
